uuid,lat,lon,alt
ZWCZZTYBJ9_2,22.5947787301947,113.965796604012,17.4470177842304
ZWCZZTYBJ9_3,22.5948287936128,113.965705477744,17.4911595694721
ZWCZZTYBJ9_4,22.5948857838934,113.965608492159,17.5608812272549
ZWCZZTYBJ9_5,22.5949289584889,113.965526759962,17.5934927836061
ZWCZZTYBJ9_6,22.5949823639296,113.965432846499,17.5949393585324
ZWCZZTYBJ9_7,22.59502452141796,113.96534631814752,17
ZWCZZTYBJ9_9,22.5950782647792,113.965259142968,17.7330059129745
ZWCZZTYBJ9_10,22.5951336006316,113.965159887032,17.8221057122573
ZWCZZTYBJ9_11,22.5951879486178,113.965053212455,17.8280628276989
ZWCZZTYBJ9_12,22.5952461566204,113.964960327897,17.7205140907317
ZWCZZTYBJ9_13,22.5952889425033,113.964879424521,17.7392386309803
ZWCZZTYBJ9_14,22.595344610763,113.964781892561,17.5839879279956
ZWCZZTYBJ9_15,22.595388508187778,113.96470105210557,17
ZWCZZTYBJ9_16,22.595432167847235,113.964616702997,17
ZWCZZTYBJ9_17,22.59547282513851,113.96453375767665,17
ZWCZZTYBJ9_19,22.595512111899374,113.96444638636292,17
ZWCZZTYBJ9_20,22.595550646734996,113.96434280767627,17
ZWCZZTYBJ9_21,22.59557438304185,113.96424684541077,17
ZWCZZTYBJ9_22,22.595585672586136,113.96414043594461,17
ZWCZZTYBJ9_23,22.595590018820708,113.96404713623606,17
ZWCZZTYBJ9_24,22.59558887226803,113.9639539699454,17
ZWCZZTYBJ9_25,22.5956000078386,113.963851197689,17.9682222958654
ZWCZZTYBJ9_26,22.595595883584,113.963758599803,17.896141811274
ZWCZZTYBJ9_27,22.5955579585764,113.963662579268,17.8245082329959
ZWCZZTYBJ9_30,22.5954721619271,113.963590310994,17.7395950024948
ZWCZZTYBJ9_31,22.5953754629332,113.963576786822,17.6670950297266
ZWCZZTYBJ9_32,22.5952851683173,113.963562316906,17.5469369515777
ZWCZZTYBJ9_34,22.59522510369,113.963484414609,17.5178292589262
ZWCZZTYBJ9_35,22.5952086364038,113.963379820085,17.5556578477845
ZWCZZTYBJ9_36,22.5952052050076,113.963278882569,17.5009811697528
ZWCZZTYBJ9_37,22.5952048529074,113.96315129364,17.4208281114697
ZWCZZTYBJ9_39,22.5952053070377,113.963057420747,17.3642732463777
ZWCZZTYBJ9_48,22.595489133841606,113.96288116044421,17
ZWCZZTYBJ9_50,22.5954628396122,113.962803170126,17.652055606246
ZWCZZTYBJ9_55,22.5954581454511,113.962721014963,17.6320250146091
ZWCZZTYBJ9_56,22.5954567684947,113.962643645386,17.6128147142008
ZWCZZTYBJ9_57,22.5954538622035,113.962525305706,17.6793768182397
ZWCZZTYBJ9_58,22.5954499558977,113.96239529997,17.7458909181878
ZWCZZTYBJ9_59,22.59545753216909,113.9622863414604,17
ZWCZZTYBJ9_60,22.5954794829628,113.96218366917756,17
ZWCZZTYBJ9_61,22.5955288109368,113.962105339527,17.7614379795268
ZWCZZTYBJ9_62,22.5956463989263,113.962097302113,17.9690844491124
ZWCZZTYBJ9_64,22.59576326396639,113.96209045451423,17
ZWCZZTYBJ9_66,22.595881082520467,113.96208163654047,17
ZWCZZTYBJ9_67,22.59599947231602,113.9620794160559,17
ZWCZZTYBJ9_68,22.596086729451226,113.9620856388954,17
P39HX81YQI_0,22.5955739377845,113.966364606833,18.68725611642
P39HX81YQI_1,22.5954795843417,113.96630324807,18.4007233427837
P39HX81YQI_3,22.5954430590694,113.9662773974,18.2157966215163
P39HX81YQI_5,22.595372710226034,113.96620022982731,18.2157966215163
P39HX81YQI_6,22.595257877519433,113.96612962867543,17.7004261752591
P39HX81YQI_7,22.595171336928953,113.96606988923924,17.7004261752591
P39HX81YQI_10,22.59511641693884,113.96603549380627,17.7004261752591
P39HX81YQI_11,22.595037238318024,113.96600108466805,17.7004261752591
P39HX81YQI_12,22.5949745980698,113.965982408237,17.7004261752591
P39HX81YQI_13,22.5948813189138,113.965927948152,17.6392806153744
P39HX81YQI_14,22.5948042666181,113.965880371044,17.5448885960504
P39HX81YQI_15,22.5947485144164,113.965842835699,17.4851146806031
P39HX81YQI_16,22.5946547192792,113.965781837164,17.4040201064199
P39HX81YQI_17,22.5945626765971,113.965720607343,17.3212703233585
P39HX81YQI_18,22.5944727889103,113.965663505426,17.2377966577187
P39HX81YQI_20,22.594402429348,113.965619622026,17.1974851060659
P39HX81YQI_21,22.5942407365512,113.965624334362,17.1008950052783
P39HX81YQI_22,22.5941245467638,113.96562445181,17.0030380189419
P39HX81YQI_24,22.5939997267696,113.965626266785,16.8989236354828
P39HX81YQI_25,22.5938810261353,113.965623365331,16.788718261756
P39HX81YQI_26,22.5937654932979,113.965625387839,16.6905522840098
P39HX81YQI_27,22.5936601991606,113.965627133735,16.64936287608
P39HX81YQI_28,22.5935527688687,113.965633726942,16.6602753736079
P39HX81YQI_29,22.5935182438026,113.965725137381,16.7185525074601
P39HX81YQI_30,22.5935127428309,113.965823654231,16.7609103918076
P39HX81YQI_31,22.593507964752,113.965915416897,16.7939585810527
P39HX81YQI_32,22.5935398373185,113.966054988476,16.7717707781121
P39HX81YQI_36,22.5939896440325,113.966051426875,17.0100655062124
P39HX81YQI_37,22.5941012089087,113.966048113144,17.1094108195975
P39HX81YQI_38,22.5942225571425,113.966054541647,17.1781188594177
P39HX81YQI_39,22.594336758067,113.966044441933,17.2610256588086
P39HX81YQI_41,22.594452668602,113.966040588691,17.3970417901874
P39HX81YQI_42,22.5945566556167,113.966041261852,17.414711012505
P39HX81YQI_43,22.5946185337187,113.966040964431,17.4857006631792
P39HX81YQI_44,22.5947406913176,113.966035912846,17.5309219434857
P39HX81YQI_45,22.5948519405509,113.966047313643,17.6989417038858
P39HX81YQI_46,22.5949456906342,113.966106288981,17.7493300857022
P39HX81YQI_48,22.59498991535673,113.96612800606773,18.3043387411162
P39HX81YQI_49,22.59506899814774,113.96617182893814,18.3043387411162
P39HX81YQI_50,22.595145096691937,113.9662172748738,18.3043387411162
P39HX81YQI_51,22.59523164009998,113.96627245930986,18.3043387411162
P39HX81YQI_52,22.59533310479218,113.9663276436914,18.3043387411162
P39HX81YQI_54,22.5954037825271,113.966410274769,18.3043387411162
P39HX81YQI_55,22.595485829456,113.966459632348,18.580245337449
P39HX81YQI_64,22.59435990570073,113.96598704840741,16.8290667114779
P39HX81YQI_65,22.594361569942855,113.965934550115,16.8290667114779
P39HX81YQI_66,22.594358241458607,113.96584041524584,16.8290667114779
P39HX81YQI_67,22.59435657721648,113.96569378208426,16.8290667114779
P39HX81YQI_68,22.5938742803708,113.966070135925,16.8290667114779
P39HX81YQI_69,22.5937397505795,113.966072045824,16.7710481528193
P39HX81YQI_71,22.5936416839999,113.96606975765,16.7296381704509
P39HX81YQI_72,22.5938428339496,113.966071374755,16.8231226382777
3Q2TTH4B2B9_0,22.5965397712733,113.96291059441,18.0813176026568
3Q2TTH4B2B9_1,22.5964321683461,113.962897334068,18.2126454925165
3Q2TTH4B2B9_2,22.5962860007173,113.962899007782,17.964103997685
3Q2TTH4B2B9_4,22.5961592645695,113.962899708977,17.9234828520566
3Q2TTH4B2B9_5,22.5960526476947,113.962903062649,17.8314503235742
3Q2TTH4B2B9_6,22.59592810764952,113.96291821299327,17.8314503235742
3Q2TTH4B2B9_7,22.5958239815285,113.962915549738,17.6862429846078
3Q2TTH4B2B9_8,22.5957169307072,113.962918993548,17.6246127504855
3Q2TTH4B2B9_9,22.5955963833759,113.962921005269,17.6121882507578
3Q2TTH4B2B9_10,22.5954647774331,113.962922162581,17.5537195606157
3Q2TTH4B2B9_11,22.5953645454869,113.962929657247,17.4455433869734
3Q2TTH4B2B9_14,22.5951091591367,113.962939219052,17.18600329943
3Q2TTH4B2B9_16,22.5950021629725,113.96294327048,17.1098849941045
3Q2TTH4B2B9_17,22.5948963917755,113.962949289589,16.9882265049964
3Q2TTH4B2B9_19,22.5947729605471,113.962952398558,17.059495951049
3Q2TTH4B2B9_24,,,
3Q2TTH4B2B9_25,22.5946790584764,113.962947010849,16.8913995577022
3Q2TTH4B2B9_26,22.594564788959,113.962949225271,16.7339157266542
3Q2TTH4B2B9_27,22.5944509178185,113.962954022492,16.6264000628144
3Q2TTH4B2B9_28,22.5943303614944,113.962953055048,16.4749689158052
3Q2TTH4B2B9_29,22.594201433185,113.962952347333,16.3468528902158
3Q2TTH4B2B9_30,22.5940739339251,113.962955902198,16.3048753133044
3Q2TTH4B2B9_31,22.5939629649254,113.962957643793,16.1439092652872
3Q2TTH4B2B9_32,22.5938291211438,113.962960006227,15.9655126752332
3Q2TTH4B2B9_33,22.5937036005744,113.962960489129,15.8060056176037
3Q2TTH4B2B9_35,22.5935729600138,113.962965092964,15.8120529735461
3Q2TTH4B2B9_36,22.5934440461755,113.962974446865,15.6911316113546
3Q2TTH4B2B9_37,22.593351821399,113.963071273649,15.7565688937902
3Q2TTH4B2B9_38,22.5933434290455,113.963104579695,15.7417445266619
3Q2TTH4B2B9_40,22.5933460789945,113.963231896573,15.7853405084461
3Q2TTH4B2B9_41,22.5933517805661,113.96336134464,15.9084181170911
3Q2TTH4B2B9_42,22.5933513150194,113.96349664843,16.0217446247116
3Q2TTH4B2B9_43,22.5933543169482,113.963633435778,16.1874743103981
3Q2TTH4B2B9_44,22.5933585734832,113.963771057991,16.3222446078435
3Q2TTH4B2B9_45,22.5933629146795,113.963927724976,16.5111446147785
3Q2TTH4B2B9_47,22.5933631787128,113.964075394304,16.6327919410542
3Q2TTH4B2B9_48,22.5933625948744,113.96421543959,16.6896471176296
3Q2TTH4B2B9_49,22.5933648073924,113.96436551305,16.6197377061471
3Q2TTH4B2B9_50,22.5933686660154,113.964519422781,16.5339298201725
3Q2TTH4B2B9_51,22.5933712574262,113.964700166326,16.5139911314473
3Q2TTH4B2B9_52,22.5933735221465,113.964847128954,16.5896836016327
3Q2TTH4B2B9_55,22.5933762681882,113.964998213336,16.4930334528908
3Q2TTH4B2B9_56,22.5933766760065,113.96514671091,16.5326781459153
3Q2TTH4B2B9_57,22.5933789930548,113.965294150513,16.5834707533941
